X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100
1.00E-02,5.50E-01,2.00E-02,9.50E-01,9.00E-02,5.00E-02,3.80E-01,3.80E-01,2.30E-01,3.60E-01,2.00E-02,9.00E-01,5.00E-01,7.20E-01,1.60E-01,6.80E-01,4.40E-01,1.10E-01,7.10E-01,4.60E-01,4.30E-01,4.10E-01,2.80E-01,0.00E+00,7.40E-01,5.10E-01,4.80E-01,0.00E+00,6.00E-02,2.50E-01,3.00E-01,3.30E-01,1.20E-01,6.50E-01,6.70E-01,3.80E-01,4.20E-01,4.60E-01,2.20E-01,2.70E-01,2.00E-01,2.10E-01,5.10E-01,9.10E-01,9.10E-01,8.90E-01,8.50E-01,4.00E-01,6.00E-01,0.00E+00,6.00E-02,0.00E+00,3.00E-02,7.00E-02,2.00E-01,2.70E-01,1.00E-02,2.00E-02,4.00E-02,5.00E-02,8.80E-01,5.00E-02,1.60E-01,1.90E-01,5.90E-01,6.00E-01,3.70E-01,8.90E-01,2.00E-02,1.90E-01,5.00E-01,1.00E-02,8.90E-01,8.70E-01,4.00E-02,5.50E-01,7.30E-01,5.00E-02,1.40E-01,3.10E-01,3.10E-01,3.00E-01,4.00E-01,3.60E-01,3.80E-01,3.80E-01,2.20E-01,5.10E-01,2.10E-01,0.00E+00,0.00E+00,1.10E-01,7.20E-01,6.40E-01,6.10E-01,5.30E-01,6.97E-02,2.17E-01,9.25E-01,2.46E-01
2.00E-02,4.70E-01,1.00E-02,9.70E-01,7.00E-02,2.00E-02,7.00E-01,6.70E-01,6.30E-01,3.70E-01,0.00E+00,0.00E+00,3.30E-01,5.60E-01,2.80E-01,6.20E-01,4.30E-01,2.10E-01,4.00E-01,4.10E-01,3.40E-01,3.20E-01,2.20E-01,3.70E-01,6.90E-01,7.20E-01,3.50E-01,2.00E-02,2.20E-01,1.60E-01,2.40E-01,4.50E-01,1.90E-01,4.80E-01,3.60E-01,7.70E-01,2.50E-01,5.60E-01,3.80E-01,5.80E-01,4.30E-01,4.30E-01,4.10E-01,6.60E-01,7.30E-01,7.20E-01,6.30E-01,5.30E-01,6.00E-01,1.00E-02,1.10E-01,0.00E+00,4.00E-01,3.50E-01,3.70E-01,3.90E-01,8.00E-02,6.00E-02,6.00E-02,6.00E-02,9.50E-01,1.00E-02,1.20E-01,1.10E-01,3.30E-01,4.90E-01,1.90E-01,5.40E-01,6.00E-02,5.50E-01,5.00E-01,1.00E-02,8.90E-01,4.60E-01,2.70E-01,4.30E-01,5.00E-01,1.20E-01,5.00E-02,1.40E-01,1.40E-01,1.40E-01,2.70E-01,2.90E-01,3.00E-01,3.00E-01,4.50E-01,2.20E-01,2.80E-01,0.00E+00,0.00E+00,8.00E-02,5.80E-01,4.00E-01,4.90E-01,4.50E-01,6.97E-02,2.17E-01,9.25E-01,2.46E-01
0.00E+00,4.10E-01,5.00E-02,9.60E-01,1.00E-02,1.00E-02,3.70E-01,3.70E-01,2.40E-01,5.50E-01,1.00E-02,5.80E-01,2.30E-01,3.40E-01,3.30E-01,5.10E-01,7.00E-01,3.60E-01,8.70E-01,2.40E-01,2.20E-01,2.10E-01,2.40E-01,1.50E-01,0.00E+00,0.00E+00,3.10E-01,1.00E-02,2.80E-01,2.70E-01,3.80E-01,1.90E-01,7.20E-01,2.50E-01,3.90E-01,3.50E-01,4.90E-01,3.40E-01,3.10E-01,2.90E-01,2.70E-01,3.00E-01,4.10E-01,7.60E-01,7.40E-01,8.30E-01,8.90E-01,4.50E-01,3.10E-01,0.00E+00,6.00E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.40E-01,2.00E-02,1.00E-01,1.20E-01,4.60E-01,4.50E-01,4.10E-01,8.30E-01,4.00E-02,4.20E-01,5.00E-01,1.00E-02,7.50E-01,8.30E-01,3.10E-01,8.40E-01,4.40E-01,5.00E-02,1.80E-01,8.00E-02,9.00E-02,1.00E-01,6.00E-02,1.20E-01,1.50E-01,2.00E-01,1.90E-01,2.00E-01,2.80E-01,0.00E+00,0.00E+00,2.00E-02,9.80E-01,9.10E-01,7.80E-01,9.30E-01,6.97E-02,2.17E-01,9.25E-01,2.46E-01
1.00E-02,4.00E-01,6.00E-02,8.70E-01,3.00E-01,3.00E-02,9.00E-01,8.20E-01,8.00E-01,3.90E-01,2.00E-02,1.00E+00,5.40E-01,5.90E-01,2.20E-01,8.60E-01,4.20E-01,2.00E-02,3.10E-01,8.50E-01,8.90E-01,9.40E-01,1.10E-01,9.00E-02,3.30E-01,1.70E-01,8.00E-01,0.00E+00,1.10E-01,4.00E-02,3.00E-02,1.00E+00,1.10E-01,4.40E-01,2.00E-01,1.00E+00,2.00E-02,9.60E-01,3.00E-01,8.50E-01,3.90E-01,3.60E-01,3.10E-01,6.50E-01,7.30E-01,7.80E-01,6.70E-01,7.20E-01,7.10E-01,0.00E+00,7.00E-02,1.00E-02,4.10E-01,4.40E-01,5.20E-01,4.80E-01,2.20E-01,2.10E-01,2.20E-01,1.90E-01,8.50E-01,3.00E-02,9.00E-02,6.00E-02,1.50E-01,3.40E-01,5.00E-02,4.80E-01,3.00E-02,5.80E-01,0.00E+00,2.00E-02,7.20E-01,3.80E-01,7.00E-02,4.70E-01,4.00E-02,1.00E-02,0.00E+00,6.30E-01,7.10E-01,7.90E-01,4.40E-01,4.20E-01,4.70E-01,4.10E-01,2.30E-01,2.70E-01,2.80E-01,0.00E+00,0.00E+00,2.20E-01,4.20E-01,3.40E-01,2.30E-01,9.00E-02,6.97E-02,2.17E-01,9.25E-01,2.46E-01
1.00E-02,7.40E-01,3.00E-02,4.60E-01,2.00E-01,1.00E+00,5.20E-01,5.50E-01,3.60E-01,3.50E-01,0.00E+00,0.00E+00,1.60E-01,4.40E-01,1.00E+00,2.30E-01,5.30E-01,9.70E-01,4.10E-01,1.50E-01,1.00E-01,1.20E-01,8.00E-02,1.70E-01,2.70E-01,1.80E-01,2.10E-01,3.00E-02,6.40E-01,9.60E-01,8.20E-01,1.20E-01,1.00E+00,2.60E-01,4.30E-01,3.40E-01,7.10E-01,1.80E-01,3.80E-01,4.70E-01,5.90E-01,5.20E-01,7.80E-01,4.50E-01,4.30E-01,3.40E-01,3.40E-01,2.90E-01,2.70E-01,2.00E-02,5.00E-01,2.00E-02,5.00E-01,5.90E-01,6.50E-01,5.90E-01,6.90E-01,7.20E-01,7.10E-01,6.00E-01,1.20E-01,9.30E-01,7.40E-01,7.50E-01,8.00E-01,6.80E-01,9.20E-01,3.90E-01,8.90E-01,6.60E-01,0.00E+00,1.00E-02,9.10E-01,4.60E-01,2.20E-01,3.70E-01,6.00E-01,2.80E-01,2.30E-01,1.50E-01,1.30E-01,1.30E-01,2.10E-01,2.40E-01,2.50E-01,2.40E-01,6.40E-01,5.90E-01,2.80E-01,0.00E+00,0.00E+00,5.90E-01,5.80E-01,5.20E-01,7.90E-01,7.80E-01,6.97E-02,2.17E-01,9.25E-01,2.46E-01
0.00E+00,3.30E-01,2.00E-02,9.10E-01,1.60E-01,9.00E-02,5.50E-01,6.30E-01,5.30E-01,3.10E-01,2.00E-02,1.00E+00,2.90E-01,6.40E-01,6.00E-01,5.70E-01,3.00E-01,1.50E-01,4.10E-01,3.20E-01,3.40E-01,3.40E-01,2.70E-01,1.50E-01,1.50E-01,3.00E-01,3.50E-01,1.00E-02,3.00E-01,1.10E-01,1.80E-01,5.40E-01,3.00E-01,5.60E-01,3.30E-01,5.30E-01,3.10E-01,5.80E-01,6.00E-01,7.30E-01,6.60E-01,6.40E-01,2.80E-01,5.80E-01,6.00E-01,7.50E-01,5.90E-01,6.50E-01,6.70E-01,0.00E+00,7.00E-02,0.00E+00,7.90E-01,7.70E-01,6.90E-01,6.10E-01,2.90E-01,2.50E-01,2.00E-01,1.70E-01,8.80E-01,3.00E-02,8.00E-02,8.00E-02,2.40E-01,3.00E-01,2.30E-01,4.90E-01,9.00E-02,6.10E-01,0.00E+00,2.00E-02,7.00E-01,4.70E-01,1.00E-01,3.40E-01,6.50E-01,1.90E-01,1.80E-01,2.20E-01,2.00E-01,2.10E-01,3.20E-01,3.10E-01,3.30E-01,2.80E-01,5.50E-01,5.90E-01,3.90E-01,0.00E+00,0.00E+00,1.50E-01,3.40E-01,3.10E-01,3.60E-01,4.40E-01,6.97E-02,2.17E-01,9.25E-01,2.46E-01
4.00E-02,7.70E-01,1.00E+00,8.00E-02,1.20E-01,1.00E-01,5.10E-01,5.00E-01,3.40E-01,2.10E-01,6.00E-02,1.00E+00,5.80E-01,8.90E-01,2.10E-01,4.30E-01,3.60E-01,2.00E-01,8.20E-01,5.10E-01,3.60E-01,4.00E-01,3.90E-01,1.60E-01,2.50E-01,3.60E-01,4.40E-01,1.00E-02,1.00E-01,9.00E-02,2.50E-01,3.10E-01,3.30E-01,7.10E-01,3.60E-01,4.50E-01,3.70E-01,3.90E-01,3.40E-01,4.50E-01,4.90E-01,4.40E-01,7.50E-01,6.50E-01,5.40E-01,8.30E-01,6.50E-01,8.50E-01,8.60E-01,3.00E-02,3.30E-01,2.00E-02,1.10E-01,2.00E-01,3.00E-01,3.10E-01,5.00E-02,8.00E-02,1.10E-01,1.10E-01,8.10E-01,8.00E-02,5.60E-01,6.20E-01,8.50E-01,7.70E-01,1.00E+00,9.40E-01,1.20E-01,1.00E-02,5.00E-01,1.00E-02,9.70E-01,9.60E-01,6.00E-01,4.70E-01,5.20E-01,1.10E-01,1.10E-01,2.40E-01,2.10E-01,1.90E-01,7.50E-01,7.00E-01,7.70E-01,8.90E-01,6.30E-01,5.10E-01,4.70E-01,0.00E+00,0.00E+00,1.90E-01,3.00E-01,7.30E-01,6.40E-01,6.50E-01,6.97E-02,2.17E-01,9.25E-01,2.46E-01
1.90E-01,3.30E-01,2.00E-02,9.00E-01,1.20E-01,1.70E-01,3.40E-01,4.70E-01,2.90E-01,3.20E-01,2.00E-01,1.00E+00,3.70E-01,7.20E-01,3.40E-01,6.00E-01,2.90E-01,1.50E-01,4.30E-01,3.90E-01,4.00E-01,3.90E-01,3.20E-01,2.70E-01,2.70E-01,3.60E-01,4.10E-01,8.00E-02,1.90E-01,1.00E-01,1.80E-01,4.80E-01,2.70E-01,6.80E-01,2.30E-01,4.10E-01,2.50E-01,5.20E-01,6.80E-01,4.00E-01,7.50E-01,7.50E-01,3.50E-01,5.50E-01,5.90E-01,6.10E-01,5.60E-01,7.40E-01,7.60E-01,4.00E-02,1.40E-01,3.00E-02,2.40E-01,2.70E-01,3.70E-01,3.90E-01,7.00E-02,7.00E-02,8.00E-02,8.00E-02,8.90E-01,6.00E-02,1.40E-01,1.30E-01,3.30E-01,3.90E-01,2.80E-01,5.50E-01,9.00E-02,5.10E-01,5.00E-01,2.10E-01,7.10E-01,5.20E-01,5.00E-02,2.60E-01,6.50E-01,1.40E-01,6.00E-02,2.20E-01,1.90E-01,1.80E-01,3.60E-01,3.50E-01,3.80E-01,3.40E-01,3.80E-01,4.60E-01,2.50E-01,4.00E-02,0.00E+00,1.20E-01,4.20E-01,5.00E-01,5.10E-01,6.40E-01,3.00E-02,1.30E-01,9.60E-01,1.70E-01
1.00E+00,4.20E-01,4.70E-01,5.90E-01,1.20E-01,5.00E-02,4.10E-01,5.30E-01,3.40E-01,3.30E-01,1.00E+00,9.90E-01,2.80E-01,6.20E-01,1.60E-01,3.60E-01,4.00E-01,3.00E-01,4.50E-01,2.90E-01,3.00E-01,3.50E-01,2.10E-01,2.00E-01,3.30E-01,2.80E-01,4.00E-01,7.60E-01,3.30E-01,2.50E-01,3.90E-01,2.80E-01,3.00E-01,5.90E-01,1.80E-01,3.30E-01,3.50E-01,3.80E-01,6.90E-01,4.10E-01,7.10E-01,7.30E-01,4.70E-01,5.30E-01,5.10E-01,5.90E-01,5.10E-01,5.50E-01,5.60E-01,4.90E-01,3.50E-01,1.60E-01,2.70E-01,3.40E-01,4.00E-01,4.30E-01,7.00E-02,7.00E-02,8.00E-02,8.00E-02,9.00E-01,4.00E-02,2.30E-01,2.00E-01,4.20E-01,4.60E-01,4.00E-01,5.50E-01,2.00E-01,4.90E-01,5.00E-01,1.00E+00,6.00E-01,5.40E-01,5.20E-01,4.40E-01,6.30E-01,3.70E-01,2.30E-01,1.10E-01,1.10E-01,1.30E-01,2.50E-01,2.80E-01,3.20E-01,3.00E-01,4.50E-01,4.10E-01,3.20E-01,3.90E-01,3.60E-01,1.00E-01,4.40E-01,4.50E-01,6.00E-01,4.80E-01,2.50E-01,1.60E-01,7.50E-01,1.90E-01
3.00E-02,3.40E-01,6.00E-02,9.30E-01,3.00E-02,3.00E-02,3.90E-01,4.10E-01,2.80E-01,5.80E-01,0.00E+00,0.00E+00,1.80E-01,4.20E-01,8.10E-01,4.90E-01,6.20E-01,3.70E-01,4.10E-01,2.10E-01,2.20E-01,2.10E-01,1.60E-01,1.20E-01,4.60E-01,3.30E-01,2.80E-01,3.00E-02,3.30E-01,3.00E-01,3.70E-01,2.40E-01,3.20E-01,4.20E-01,3.80E-01,4.80E-01,4.80E-01,3.60E-01,5.00E-01,3.40E-01,4.50E-01,4.90E-01,3.80E-01,5.50E-01,6.00E-01,6.10E-01,5.20E-01,6.40E-01,7.10E-01,1.00E-02,1.90E-01,0.00E+00,5.00E-02,4.00E-02,3.00E-02,1.30E-01,0.00E+00,0.00E+00,0.00E+00,1.00E-02,9.50E-01,3.00E-02,1.40E-01,1.20E-01,3.20E-01,3.90E-01,2.20E-01,6.20E-01,4.00E-02,5.30E-01,5.00E-01,4.00E-02,7.60E-01,5.80E-01,4.10E-01,4.70E-01,2.50E-01,2.40E-01,4.40E-01,4.00E-02,4.00E-02,5.00E-02,1.00E-01,1.30E-01,1.40E-01,1.30E-01,4.00E-01,2.00E-01,3.50E-01,1.00E-02,0.00E+00,3.00E-02,8.50E-01,6.00E-01,7.40E-01,7.80E-01,6.97E-02,2.17E-01,9.25E-01,2.46E-01
3.00E-02,4.70E-01,1.00E-02,9.60E-01,1.30E-01,2.00E-02,2.90E-01,3.20E-01,2.00E-01,5.20E-01,4.00E-02,1.00E+00,8.00E-01,5.50E-01,1.80E-01,8.70E-01,5.10E-01,7.00E-02,5.50E-01,8.20E-01,7.80E-01,7.70E-01,6.20E-01,1.40E-01,5.40E-01,1.70E-01,4.60E-01,1.00E-02,7.00E-02,7.00E-02,7.00E-02,8.90E-01,2.40E-01,5.50E-01,2.90E-01,7.30E-01,1.00E-01,8.80E-01,1.30E-01,3.80E-01,2.00E-01,1.80E-01,5.00E-01,8.70E-01,9.00E-01,8.70E-01,7.30E-01,3.30E-01,4.80E-01,0.00E+00,3.00E-02,1.00E-02,2.50E-01,2.80E-01,2.60E-01,2.50E-01,1.30E-01,1.30E-01,1.10E-01,1.00E-01,8.70E-01,5.00E-02,1.80E-01,1.90E-01,5.00E-01,5.50E-01,2.50E-01,8.30E-01,2.00E-02,2.50E-01,5.00E-01,1.00E-02,9.40E-01,7.80E-01,0.00E+00,2.60E-01,2.90E-01,1.00E-02,1.50E-01,7.10E-01,6.90E-01,6.80E-01,6.00E-01,8.20E-01,1.00E+00,8.70E-01,4.00E-01,3.90E-01,4.60E-01,0.00E+00,0.00E+00,2.20E-01,6.60E-01,8.20E-01,6.60E-01,7.30E-01,6.97E-02,2.17E-01,9.25E-01,2.46E-01
